text,label,char_len,word_count
Zoubky jsou mimo a nelze s nimi zacvaknout konektor,0,51,9
RJ45 klasika. Štípačky na kabel + odizoluje + krimpuje,1,54,9
Nesedí do konektoru.,0,20,3
přesně určeno na internetové kabely,1,35,5
"určeny jen pro uživatele, kteří vědí jak s nimi pracovat",0,56,10
"kleště jsou kvalitní, nikde se nic neláme ani neničí",1,52,9
"kleště disponují řezacím mechanismem, není tedy třeba mít další nástroje.",1,73,10
"zarážka u mechanismu na řezání poloměru kabelu je otravná, téměř vždy musím kabel řezat dvakrát, jelikož je zarážka příliš blízko",0,129,20
kvalita zpracování,1,18,2
"zoubky nesedi na vystupky konektoru, vráceno",0,44,6
"Jednoduche, levne",1,17,2
Funguji,1,7,1
Chybi mi funkce odstraneni obalu kabelu,0,39,6
Dobrý poměr výkon/cena,1,22,3
Very good,1,9,2
"Zakladni kleste, uspesnost tak 80%",1,34,5
Kleště dělájí co mají dělat,1,27,5
"Madla jsou kus naraženého plastu na železo, trochu v ruce klouzají",0,66,11
funkcni,1,7,1
nevim,0,5,1
Pokud si chcete dát doma dohromady kabel s konektory RJ45 tak bohatě stačí tyto kleště.,1,87,15
Za danou cenu přijatelná kvalita,1,32,5
Složitější práce,0,16,2
Dá se s nimi nakrimpovat konektor,1,33,6
"Výstupky zatlačující nože do kabelu nesedí na nože ale mají velkou odchylku. Nože konektoru se pak místo zaříznutí do kabelu vylomí na stranu a může se začít znova. Konektor nakrimpován až na třetí pokus, při častějším použití se vyplatí šetřit konektory a koupit dražší kleště, u kterých jsem se nikdy s ničím podobným nesetkal.",0,329,54
Na krempovanie asi dosť dobré,1,29,5
"Majú aj orezávač izolácie, ale je určený na ploché káble. Okrúhle káble (väčšina LAN káblov) sa s nimi neorezavaju moc dobre.",0,125,21
fungujou,1,8,1
stačí pro občasné použití,1,25,4
zatím nic,0,9,2
Plně postačuje pro domácí použití. není třeba dražší.,1,53,8
"Není univerzální, jen pro RJ-45, tak proto je nízká cena",1,56,10
Nepřesné seřízení ale vyřešil jsem to,0,37,6
"Tož fungujó, konektor drží.",1,27,4
"Při stisku rukojeti mám dojem, že se ohýbajó do strany, musí se na ně jemně. Ale na takové to domácí krimplování úplně postačijó.",0,129,23
na domácí použití naprosto dostačující,1,38,5
mě fungují,1,10,2
Fungují tak jak mají.,1,21,4
"Fungují jak mají. Odizolují pouze slabé kabely (lanko), ale na to jsou prostě stavěné.",1,86,14
solidní určitě dostačující pro neprofesionální použití,1,54,6
"nefunguju spravne, kazia konektory",0,34,4
posobia labilne,0,15,2
"cepele posobia nekvalitne, ale viac som to nezistoval a hned som ich vratil",0,75,13
dobré pro všeobecné požití,1,26,4
Obycajne klieste na sem tam pouzitite OK,1,40,7
"Odblankovac striha aj droty niekedy, treba opatrne",0,50,7
Kleště klešťují,1,15,2
Na domací občasné ideál.,1,24,4
Spokojenost.,1,12,1
Mám je již delší dobu a jsou naprosto perfektní. Nože se neotupily a vše funguje jak má,1,87,17
"Uplne obycejne krimpovaci kleste, jako zalozni v nouzi dobry, ale nijak nic zvlastniho, cena odpovida vyrobku.",1,110,16
Na běžné domácí použití nevidím jediný zápor a jsou dostačující.,1,64,10
"Při delším použití, měl jsem stejné zapůjčeny od kamaráda, dochází k opotřebení štípacích kleští apod., hlavně v případě, že jdou někam do provozu.",0,147,23
svoj účel spĺňajú,1,17,3
robí to čo má,1,13,4
na domáce použitie absolútne postačujúce,1,40,5
"1.-krát v živote som s nim narábal, je to veľmi jednoduché a mne sa s nim dobre robilo.",1,87,18
narábať s ním s citom a vtedy je všetko OK!!!,0,45,10
Prostě kleště,1,13,2
"má všechny funkce,,,odizolovací nůž,,řezací nůž,,,",1,50,5
postačujúce,1,11,1
žiadne,0,6,1
kleste na jednoduchou praci,1,27,4
levna cena,1,10,2
nizka odolnost,0,14,2
"je treba kontrolovat prolisovani, hlavne kdyz uz maji kleste za sebou toho vic",0,78,13
"casem se zacnou ""viklat""",0,24,4
užitečný pomocník,1,17,2
"Lehké,ergonomická rukujeť",1,25,2
Tuhý chod,0,9,2
presné,1,6,1
super,1,5,1
denní cvakání nevydrží,0,22,3
"Koupě těchto kleští jsou vyhozené peníze. Drážky nedosedají na konektor kolmo, takže nakrimpovat konektor kvalitně je víceméně nemožné. Na jedné straně jsou žíly skoro rozmačkané, na druhé straně se nožíky skoro nezaříznou.",0,223,32
Cena/ výkon,1,11,2
Dělají co mají,1,14,3
Pro domácí IT kutily ideál,1,26,5
Pravděpodobně nenacvakají tisíce konektorů,0,42,4
zde není co hodnotit,1,20,4
plní svůj účel,1,14,3
"Za tu cenu OK, fungují velice dobře již pár let.",1,48,10
Trochu se kroutí.,0,17,3
Pomalu se vylamuje spodní nožík.,0,32,5
"Na domácí použití výborné, krimpoval jsem poprvé a vše funguje jak má",1,69,12
"velmi dobré zpracování, dobrá cena",1,34,5
Za tu cenu dostačující. Profesionál by ale měl šáhnout po dražších a kvalitnějších.,1,83,13
bez problémů,1,12,2
Funguje.,1,8,1
Deformuje jazýček na konektoru (ručně pak vyhnu ven).,0,53,8
vypadají jinak než na obrázku (jsou modré :)),0,45,8
Cena odpovídá kvalitě....,1,25,3
Výborná věc pro vytváření domácí sítě. V nejhorším se dá použit i jako kladivo :),1,81,15
Nedocvaknou úplně,0,17,2
Při odizolování často překousnou i vodič,0,40,6
"pacička na konektoru se musí vyhnout ručně, asi jí to příliš zmáčkne",0,68,12
"Pro domácí práce super, takové to občasné opravy",1,48,8
občas se stane že poškodí konektor,0,34,6
"normál: nic profi, ale na to občasné domácí žvýkání ...",1,55,10
Vypadají mnohem robustněji než na obrázku. A za ty peníze není co řešit.,1,72,13
"Na občasné použití, jsou zcela ideální, krimpoval jsem poprvé v životě podle návodu na youtube a ani jeden konektor z 6 sem nezkazil a vše chodí.",1,145,26
"jednoduché, levné, funkční (pro vytvoření domácí sítě)",1,54,7
pro profi použití bych možná volil robusnější konstrukci,0,56,8
"Funguje jak má, cena.",1,21,4
nenalezeny,0,10,1
"ohýbají západku při krimpování, takže koncovka nezapadne (a vyklouzává), musí se vyhnout zpátky ručně",0,101,14
Pro občaasné použití narosto dostačující,1,40,5
"Při zacvakávání konektoru ohnou a zamáčknou takovou tu ""pacičku"", takže konektor pak nedrží v počítači. Musí se zase ručně narovnat, ale není to nic strašného.",0,159,25
Na občasné použití OK.,1,22,4
"První pokus byl úspěšný, tak snad budou fungovat :)",1,51,9
za tu cenu více než solidní a svoji práci udělají,1,49,10
náročnější profíky asi neuspokoji,0,33,4
levné,1,5,1
"vyrobí cca 100 kvalitních krimpů, pak už se hodí spíš jako štípací kleště",0,73,13
Rezné prochy,1,12,2
Madla z tvrdého plastu,0,22,4
pro občasnou práci tak 10 konektorů měsíčně OK.,1,47,8
Klasické krimpovací kleště - nic víc.,1,37,6
"Nutnost seřídit si je, v základu moc u sebe...",0,46,9
Robustne,1,8,1
Cenovo priatelne,1,16,2
Nie je velmi co vytknut ;),1,26,6
je to taký funkčný lowcost,1,26,5
"prdpokladám že pár dní po zakúpení nových, nájdem staré - stratené",0,66,11
Veľmi zle krimpuje.. niekedy vôbec. Musel som tam vkladať kábel na 7x z rôznych strán aby to bolo aspoň trochu zakrimpované (a aj tak to nejde spraviť rovnomerme),0,162,28
Hneď po druhom použití sa začali ohýbať ručky. Po 4./5.kábli už je to nepoužiteľné.,0,83,14
Menej presná hlava na lisovanie,0,31,5
splnaju co maju,1,15,3
zubky sa netriafaju spravne na konektor,0,39,6
nepouzitelne,0,12,1
Dobrý pomer cena - výkon,1,24,5
Rýchle dodanie,1,14,2
"Nie je to vyslovené negatívum, ale - krajné piny najďalej od kĺbu na prvýkrát nezatlačí na svoje miesto na prvý pokus, konektor je potrebné otočiť o 180 stupňov a jemný tlakom dotlačiť piny na miesto, inak budú jemne pretŕčať",0,225,39
Boli vyosené a nevedia zatlačiť kontakty do káblikov. Nespravil som s nimi ani jednu koncovku,0,93,15
na domace upravy kablov a krimpovania konektorov uplne postacujuce. ja som spokojny,1,83,12
"Jednoduché, nie je zbytočne drahé.",1,34,5
Žiadne,0,6,1
"Jedine co to ma robit je spravit kabel a aj to robilo zle a nakrivo :D, vratil som ich",0,86,19
"nie je schopny poriadne kovove jazycky do drotikov stlacit dnu , jednu stranu stlacite a vonkajsiu uz nedotlaci lebo jednoducho to stlacate ako noznice a je tam velky skon , vnutornu stranu date na doraz a vonkajsia ostane posledne dva poriadne nedotlacene kedze je to sikmo, tak isto nepresne spravene zuby nesadaju dobre na jazycky , je tam velka vola a netrafi sa , potreboval som len na par ale 3x som to koli tomu musel prerabat.",0,434,77
"Značka, spoľahlivosť",1,20,2
"cena,",1,5,1
na male jednorazove projekty (napr. domaca siet) sa neoplati kupovat ine.,1,73,11
"klieste nie su uplne presne, par koncoviek znicenych, kym clovek prisiel na spravnu aplikaciu tlaku a sily ...",0,110,18
"klieste su pri stlacani asymetricke, co pri trochu nepozornosti sposobi nefunkcny konektor.",0,91,12
chyba nastroj na bezpecnejsie odstranenie PVC ochrany UTP kabla,0,63,9
"pre profi pouzitie, zvazil by som profi symetricke klieste.",0,59,9
Splnilo svoj účel,1,17,3
pre amatérov ok,1,15,3
horšia kvalita a kratka vydrz,0,29,5
Lacné,1,5,1
Robí čo má,1,10,3
na krimpovanie RJ45 nepotrebujete nic luxusnejsie ani dodatocne naradie,1,71,9
ma este aj zamykanie v uzatvorenej polohe pre lahsie prenasanie a skladovanie,1,77,12
na domáce použitie,1,18,3
prišli mi pekné čierno/modré,1,28,4
účel plnia :),1,13,3
klieste,1,7,1
Sice lacne klieste ale ak netahate 100km kabla tyzdenne uplne perfetkne pre potiahnutie potrebnej infrastruktury v byte,1,119,17
"Ako pisu aj ostatni, obcas konektor nespravne 'zacvakne' na urcene miesto a stane sa ze sa pri stlaceni kliesti prilis ohne 'jazycek', ktory ma drzat konektor v mieste. Stacilo mi vsak ohnut ho trochu naspat a parada",0,216,37
lacne,1,5,1
na tych par kablov co som spravil uplne dostacujuce,1,51,9
ziadne,0,6,1
dobré fachčí 1*,1,15,3
Trošku volná,0,12,2
Prozatím jsem nevyužila,1,23,3
Vypadá kvalitní,1,15,2
funkční,1,7,1
plně funkční,1,12,2
"hodí se ke kabelu , ke kterému jsem si ho koupil.",1,49,11
"ideální varianta pro ""nastavení"" (prodloužení) kabelu pomocí koncovek RJ45 (např. internetový kabel v domácí síti)",1,114,15
"malá vůle i přes zacvaknuté koncovky RJ45 ve spojce se může stát, že pokud někdo za kabel omylem zatáhne (např. zakopne) ... síť, resp. spojení je rozpojeno",0,156,27
"Spokojenost,rychlost",1,20,1
levné a funkční,1,15,3
Vše ok,1,6,2
Dobrá cena,1,10,2
"Nevím, jestli se vyrábí místo jednoduchého napojovacího dílu, rozdvojka na připojení dvou kabelů, bylo by to pro moji potřebu lepší.",1,132,20
pracoval bez závad,1,18,3
Jednoduchá a spolehlivá,1,23,3
Plní svoji funkci,1,17,3
pevná a funkční spojka,1,22,4
"Funguje, tak jak má :)",1,22,5
Prostě spojka,1,13,2
plní účel jak má,1,16,4
není co :-),0,11,3
Opravdu základ,1,14,2
Okamžitá dostupnost,1,19,2
Běžná obyč funguje,1,18,3
Zcela spolehlive.,1,17,2
"levné, prozatím funkční",1,23,3
Barva je hnusná.,0,16,3
S koncovkami nižší kvality kabel vypadává,0,41,6
designově pokulhávající,0,23,2
material je obyč ale postačí,1,28,5
"Splní co splnit má - propojí kabely, víc k tomu asi není co dodat",1,65,14
pasuje i RJ-11,1,14,3
dost velká,0,10,2
"žádné omezení, podporuje CAT.5",1,30,4
Funguje spolehlivě,1,18,2
slouží dobře,1,12,2
Plně vyhovuje,1,13,2
"Levné,plně funkční",1,18,2
Splnilo účel.,1,13,2
spojil co měl a byl levný,1,25,6
Plní svůj účel bez problému.,1,28,5
Zvýšila rychlost mého internetu ~43%,1,36,5
Je velmi tichá,1,14,3
Barva se hodí k mé pohovce,1,26,6
V zimě nehřeje,0,14,3
Barva se nehodí k mému koberci,0,30,6
"Výborná věcička na propojení kabelů, když neni po ruce dlouhej, nebo je jen potřeba něco propojit pro laiky ideální, funguje jak prodlužovačka jednoduše ""zacvakneš konektory a jedeš"" nijak nezpomaluje přenos. A cena za hubičku :)",1,229,35
"Obecně je lepší raději koupit nový delší kabel než spojovat spojkou dva stávající. Na kvalitě přenosu dat to sice v podstatě nejde poznat, ale teoreticky tam vyšší ztrátovost je a cena nového UTP kabelu není až zas tak vysoká, aby to za to riziko stálo.",0,253,45
Nejsou,0,6,1
větší rozměr,0,12,2
Spojuje dva UTP kabely s konektory RJ45,1,39,7
Funguje :-),1,11,2
"Funguje, i když do jedné zdířky dáte konektor s integrovaným PoE",1,64,11
"funguje jak má, i na 1Gbps síti",1,31,7
působí dojmem že se v půlce zlomí,0,33,7
plast,0,5,1
Již existence tohoto zařízení.,1,30,4
"super, bez problému",1,19,3
Prostě funguje tak jak má,1,25,5
spokojenost.. splnilo svůj účel.,1,32,4
Za tu cenu plně dostačující.,1,28,5
barva,0,5,1
Funguje-velmi dobrý...,1,22,2
"Klasická kabelová spojka, občas se hodí.",1,40,6
Dobře spojuje kabely.,1,21,3
Malý výběr barev. K bílému kabelu se tato starobéžová nehodí.,0,61,10
splňuje co jsem očekával,1,24,4
standardní propojka,1,19,2
nevidím žádné zápory,0,20,3
"Jednoduchost, rozměry, cena",1,27,3
"Trošku se bojím křehkosti, jinak nic.",0,37,6
"normální spojka, funguje",1,24,3
Nic jej nechyba,1,15,3
"Nedrží, Nutnost dokoupit s izolepou",0,35,5
Dokáže dokonale spojit všechny 4 páry UTP kabelu !!! Je to hotový zázrak ! :),1,77,15
klasika,1,7,1
svůj účel splní,1,15,3
tady snad ani není co zkazit,0,28,6
propojí krátký přívod,1,21,3
Spojka spojuje. Co víc od ní taky chtít...,1,42,8
"cena,kvalita",1,12,1
"Pokud se Vam za ty penize nerozpoji uprostred, tak mozna, kdyz po zapojeni kabelu vyzkousite, jestli signal funguje, tak pak na tuto spojku nesahat a bude sit fungovat :-)",1,171,29
"Horsi zpracovani,",0,17,2
"Dobré pro prodloužení délky kabelů, pokud máte víc kratších.",1,60,9
Levné,1,5,1
"poměrně malá, zatím funkční",1,27,4
funkčnosť,1,9,1
odporúčam len na krátke spojenie v nezarušenom prostredí a dobrým prístupom k spojke pre prípad výmeny,1,102,16
"nie je vhodná na dlhé prepojenia na miestach, kde sa vyzaduje zvýená trvácnosť a odolnosť",0,89,15
jednoduché a rychlé řešení za pár kaček,1,39,7
Překvapivě malý,1,15,2
Na krátkou vzdálenost v domácnosti dokonalý.,1,44,6
Nemám co vytknout.,0,18,3
"jednoduchá manipulace,dobrá cena",1,32,3
"Jednoduché,laciné - funkční. Zacvakne i lacinější kabel.",1,56,7
Praktická pomůcka pro spojení síťových kabelů.,1,46,6
"Splňuje to,co má",1,16,3
"zatím funguje, vše v pořádku",1,28,5
asi žádná,0,9,2
"Použito na spojení telefonní linky (nikoliv síťové kabeláže), funguje dokonale.",1,79,10
Levná spojka,1,12,2
Poslouží,1,8,1
Vše OK,1,6,2
v pohodě,1,8,2
Tak jak by mělo,1,15,4
"v pohodě, bez problémů",1,22,4
dobra spojka,1,12,2
kvalitna bezova farba,1,21,3
plní svou funkci za pár korun,1,29,6
spojuje,1,7,1
propojuje,1,9,1
dokonalá spojka!,1,16,2
více barevných odstínů :),0,25,4
mohla by být menší,0,18,4
klasika :D,1,10,2
Perfektni,1,9,1
standart,1,8,1
Bez problému,1,12,2
"funkční,levné",1,13,1
"občas z něj vypadávaj kabely, takže jsem je přilepil izolačkou :D",0,65,11
Občas nějkou hledám a předělání na pevné vedení se nekoná...,1,60,10
funguje podle predpokladu,1,25,3
Funguje jak má.,1,15,3
Zatím nic uvidíme po delší době :),0,34,7
Rychlé spojení dvou kabelů,1,26,4
Podpora 1Gbit,1,13,2
některé spojky mají tendenci se později zlomit,0,46,7
"Levná, levnější než samovýroba.",1,31,4
Do prostředí bez rušení je víc než dobrá.,1,41,8
"Do náročnějšího nasazení (při větší hustotě kabeláže a rušení) je lepší kovová stíněná, ale ta je násobně dražší.",0,113,18
Rozměry.,0,8,1
Povinný obsah brašny ajťáka,1,27,4
malé rozměry,1,12,2
Splňuje mé požadavky,1,20,3
Funguje. Co víc čekat.,1,22,4
Uplne Plug&Play - cvak a hotovo - idealne,1,41,8
propojení dvou kabelů,1,21,3
Funguje tak jak má,1,18,4
"Sikovna vec na propojeni kabelu, vrele doporucuji",1,49,7
"pro klasickou zasuvkovou krabici trochu velke. pokud planujete propojit dva RJ45 kabely v krabici na stene, budete tam muset dat rovnou dve.",0,140,22
Bylo to v klidu a bez čekání. Dobré.,1,36,8
levne,1,5,1
Spojka funguje a to je důležité,1,31,6
maly a splna svoji funkci.,1,26,5
jednoduchost,1,12,1
"Vyhoda je, ze toto nekupite len tak v beznom elektre, takze som rad, ze Alza ma skladom",1,87,17
rozpadáva sa (musel som zlepiť páskou),0,38,6
Zatiaľ funguje ako má.,1,22,4
Kvalita prevedenia,1,18,2
Zachrana pred odtahivanim nabytku a nutnosti tahania noveho kabla,1,65,9
klasicka koncovka,1,17,2
biela farba :-),0,15,3
"dobrý, drží, kable z nej nevapadávajú",1,37,6
Lacny funkcny odporucam,1,23,3
bez problémov,1,13,2
lacne a funguje dobre,1,21,4
Príjemne malé rozmery na predĺženie kábla,1,41,6
Spojka,1,6,1
Káble v nej dobre držia,1,23,5
Funguje ako má. Dobrá vec pri nastavovaní siete.,1,48,8
Šikovná pomôcka,1,15,2
je to spojka,1,12,3
ktora nefunguje takze my je naprd,0,33,6
"trochu ,,wackerlich"" -- konektorom niekedy treba pomikslovať, aby bol signál 100%",0,81,11
Funguje na predĺženie kábla,1,27,4
Internet cez ňu ide,1,19,4
"Je to spojka, čo viac napísať",1,29,6
Pri použití viacerých v blízkosti by som asi dal tienenú,0,56,10
spojka spojuje :),1,17,3
sikovne rozmery,1,15,2
vzhlad zozltnuteho stareho plastu,0,33,4
Lacné a pritom plne funkčné,1,27,5
Praktické zomery,1,16,2
8 pinov,1,7,2
Alza je navyše super obchod s výbornou logistikou a dodacou dobou...,1,68,11
Na obale je napísané anglicky že záruka 10 rokov (Warranty 10 years ale na faktúre iba 24 mesiacov ale to je asi záruka u výrobcu),0,130,25
Bez výhrad spĺňa účel,1,21,4
Spoje pevne držia,1,17,3
Klasická spojka,1,15,2
žiadne som nezistil :),0,22,4
Funguje to!,1,11,2
"Jednoduchá spojka, neni čo hodnotiť. Funguje.",1,45,6
"Jednoduché, funkční, srozumitelné",1,33,3
Zpomaluje síť na 100 Mbs,0,24,5
snadné zapojení,1,15,2
lepící podložka drží i na zdivu,1,31,6
funguje skvěle,1,14,2
Poměrně levné a plně funkční,1,28,5
jednoduchá a praktická,1,22,3
funkční design,1,14,2
nestíněná (což má ve specifikaci),0,33,5
pohledový design,0,16,2
Levné řešení při povrchové montáži,1,34,5
Dobré zakončení přípojky poskytovatele,1,38,4
Drží vlastnosti kategorie 5e,1,28,4
finguje a cena je dobrá,1,23,5
"Hodně zmatečné značení zapojení. Na tak hloupé jsem ještě nenarazil. Dalo mi práci, než jsem je rozklíčoval, a pak pro jistotu proměřil, zbytečných cca deset minut přemýšlení.",0,175,27
uchycení kabelu jednorázovou páskou vylučuje opravy.,0,52,6
"Cena,",1,5,1
funkcnost - netreba krimpovacie klieste,1,39,5
zcela běžná fungující zásuvka,1,29,4
obsahuje oboustrannou lepící pásku i šroubky na upevnění,1,56,8
"Obyčejná zásuvka na LAN, bez šroubování a dá se přilepit nebo přišroubovat.",1,75,12
veľmi jednoduché zapojenie aj pre laika,1,39,6
asi žiadne,0,10,2
"Nejsou potřeba kleště, ale pro laika si myslím, že zapojení kabelů zde není zcela jednoznačně zakreslené a na mě to působilo trochu zmateně.",1,140,23
Trochu těžší vložení drátků do těch zářezových čelistí (nevím jak bych to nazval správně) ale s malým šroubovákem jsem to snadno zvládl.,0,136,22
sou tam popsane barvicky a neda se to splest,1,44,9
to cvakani dratku je pakarna,0,28,5
Klasická zásuvka,1,16,2
Nástroj na zařezávání jednotlivých žil do jednotlivých konektorů,0,64,8
levná klasika,1,13,2
oboustraná páska nalepena,1,25,3
zpracování,0,10,1
"Nalepka v baleni, nemusi sa sroubovat.",1,38,6
"V baleni nebol nastroj na zarezanie kablov do jednotlivych konektorov. Pre amatera, co to drzi prvy krat v ruke otravna na zapojovanie. Pre amatera, co to drzi prvy krat v ruke a na maly, ostry nozik ziadny problem",0,214,38
"cena, jednoduchost",1,18,2
problém s připojováním patch kabelu do zásuvky - vypadává.,0,58,9
"asi neznám správný fígl, ale občas problém s připojenim kabelů",0,62,10
jednoduchá instalace,1,20,2
Taký jednoduchý výrobok hádam nie je ako pokaziť,1,48,8
Vyššia cena oproti konkurencii.,0,31,4
Kupoval som viac kusov s 1 týždňovým rozdielom a vo vnútri je odlišné značenie. Na jednej zásuvke bolo OK a na ostatných bolo identické značenie pre T568A aj B štandard.,0,169,30
"Dobré pro menší bytové instalace, kde je přívod v lištách",1,57,10
jednoduchá,1,10,1
levná,1,5,1
sympatická malá velikost,1,24,3
"po přečtení několika recenzí jsem měl obavy ze zařezávaní drátků do drážek, ale při použití velmi malého šroubováčku (ruské výroby :-) šlo všechno velmi dobře",1,158,25
asi koupím ještě další,1,22,4
