text,label
Za danou cenu přijatelná kvalita,1
Složitější práce,0
Dá se s nimi nakrimpovat konektor,1
"Výstupky zatlačující nože do kabelu nesedí na nože ale mají velkou odchylku. Nože konektoru se pak místo zaříznutí do kabelu vylomí na stranu a může se začít znova. Konektor nakrimpován až na třetí pokus, při častějším použití se vyplatí šetřit konektory a koupit dražší kleště, u kterých jsem se nikdy s ničím podobným nesetkal.",0
Na krempovanie asi dosť dobré,1
"Majú aj orezávač izolácie, ale je určený na ploché káble. Okrúhle káble (väčšina LAN káblov) sa s nimi neorezavaju moc dobre.",0
cena,1
fungujou,1
cena,1
stačí pro občasné použití,1
funguje jak má,1
zatím nic,0
Plně postačuje pro domácí použití. není třeba dražší.,1
fungujou,1
cena,1
nic,0
"Není univerzální, jen pro RJ-45, tak proto je nízká cena",1
Nepřesné seřízení ale vyřešil jsem to,0
"Tož fungujó, konektor drží.",1
"Při stisku rukojeti mám dojem, že se ohýbajó do strany, musí se na ně jemně. Ale na takové to domácí krimplování úplně postačijó.",0
Funguji,1
dobrá cena,1
na domácí použití naprosto dostačující,1
žádné,0
mě fungují,1
Fungují tak jak mají.,1
"Fungují jak mají. Odizolují pouze slabé kabely (lanko), ale na to jsou prostě stavěné.",1
solidní určitě dostačující pro neprofesionální použití,1
cena,1
"nefunguju spravne, kazia konektory",0
posobia labilne,0
"cepele posobia nekvalitne, ale viac som to nezistoval a hned som ich vratil",0
dobré pro všeobecné požití,1
nemá,0
Obycajne klieste na sem tam pouzitite OK,1
"Odblankovac striha aj droty niekedy, treba opatrne",0
Kleště klešťují,1
Na domací občasné ideál.,1
Spokojenost.,1
Žádné,0
Mám je již delší dobu a jsou naprosto perfektní. Nože se neotupily a vše funguje jak má,1
"Uplne obycejne krimpovaci kleste, jako zalozni v nouzi dobry, ale nijak nic zvlastniho, cena odpovida vyrobku.",1
Na běžné domácí použití nevidím jediný zápor a jsou dostačující.,1
"Při delším použití, měl jsem stejné zapůjčeny od kamaráda, dochází k opotřebení štípacích kleští apod., hlavně v případě, že jdou někam do provozu.",0
svoj účel spĺňajú,1
robí to čo má,1
na domáce použitie absolútne postačujúce,1
"1.-krát v živote som s nim narábal, je to veľmi jednoduché a mne sa s nim dobre robilo.",1
narábať s ním s citom a vtedy je všetko OK!!!,0
Prostě kleště,1
"má všechny funkce,,,odizolovací nůž,,řezací nůž,,,",1
nic,0
postačujúce,1
žiadne,0
kleste na jednoduchou praci,1
levna cena,1
nizka odolnost,0
"je treba kontrolovat prolisovani, hlavne kdyz uz maji kleste za sebou toho vic",0
"casem se zacnou ""viklat""",0
užitečný pomocník,1
"Lehké,ergonomická rukujeť",1
Tuhý chod,0
presné,1
super,1
denní cvakání nevydrží,0
"Koupě těchto kleští jsou vyhozené peníze. Drážky nedosedají na konektor kolmo, takže nakrimpovat konektor kvalitně je víceméně nemožné. Na jedné straně jsou žíly skoro rozmačkané, na druhé straně se nožíky skoro nezaříznou.",0
Cena/ výkon,1
Dělají co mají,1
Pro domácí IT kutily ideál,1
Pravděpodobně nenacvakají tisíce konektorů,0
zde není co hodnotit,1
plní svůj účel,1
"Za tu cenu OK, fungují velice dobře již pár let.",1
Trochu se kroutí.,0
Pomalu se vylamuje spodní nožík.,0
"Na domácí použití výborné, krimpoval jsem poprvé a vše funguje jak má",1
"velmi dobré zpracování, dobrá cena",1
nic,0
Za tu cenu dostačující. Profesionál by ale měl šáhnout po dražších a kvalitnějších.,1
bez problémů,1
Funguje.,1
Deformuje jazýček na konektoru (ručně pak vyhnu ven).,0
vypadají jinak než na obrázku (jsou modré :)),0
Cena odpovídá kvalitě....,1
Výborná věc pro vytváření domácí sítě. V nejhorším se dá použit i jako kladivo :),1
Cena,1
Nedocvaknou úplně,0
Při odizolování často překousnou i vodič,0
cena,1
"pacička na konektoru se musí vyhnout ručně, asi jí to příliš zmáčkne",0
"Pro domácí práce super, takové to občasné opravy",1
občas se stane že poškodí konektor,0
"normál: nic profi, ale na to občasné domácí žvýkání ...",1
Vypadají mnohem robustněji než na obrázku. A za ty peníze není co řešit.,1
"Na občasné použití, jsou zcela ideální, krimpoval jsem poprvé v životě podle návodu na youtube a ani jeden konektor z 6 sem nezkazil a vše chodí.",1
"jednoduché, levné, funkční (pro vytvoření domácí sítě)",1
pro profi použití bych možná volil robusnější konstrukci,0
"Funguje jak má, cena.",1
nenalezeny,0
"ohýbají západku při krimpování, takže koncovka nezapadne (a vyklouzává), musí se vyhnout zpátky ručně",0
Pro občaasné použití narosto dostačující,1
"Při zacvakávání konektoru ohnou a zamáčknou takovou tu ""pacičku"", takže konektor pak nedrží v počítači. Musí se zase ručně narovnat, ale není to nic strašného.",0
Na občasné použití OK.,1
"První pokus byl úspěšný, tak snad budou fungovat :)",1
za tu cenu více než solidní a svoji práci udělají,1
náročnější profíky asi neuspokoji,0
levné,1
"vyrobí cca 100 kvalitních krimpů, pak už se hodí spíš jako štípací kleště",0
Cena,1
Rezné prochy,1
Madla z tvrdého plastu,0
Cena,1
pro občasnou práci tak 10 konektorů měsíčně OK.,1
Klasické krimpovací kleště - nic víc.,1
"Nutnost seřídit si je, v základu moc u sebe...",0
Robustne,1
Cenovo priatelne,1
Nie je velmi co vytknut ;),1
je to taký funkčný lowcost,1
"prdpokladám že pár dní po zakúpení nových, nájdem staré - stratené",0
Cena,1
Veľmi zle krimpuje.. niekedy vôbec. Musel som tam vkladať kábel na 7x z rôznych strán aby to bolo aspoň trochu zakrimpované (a aj tak to nejde spraviť rovnomerme),0
Hneď po druhom použití sa začali ohýbať ručky. Po 4./5.kábli už je to nepoužiteľné.,0
Menej presná hlava na lisovanie,0
splnaju co maju,1
zubky sa netriafaju spravne na konektor,0
nepouzitelne,0
Dobrý pomer cena - výkon,1
Rýchle dodanie,1
"Nie je to vyslovené negatívum, ale - krajné piny najďalej od kĺbu na prvýkrát nezatlačí na svoje miesto na prvý pokus, konektor je potrebné otočiť o 180 stupňov a jemný tlakom dotlačiť piny na miesto, inak budú jemne pretŕčať",0
Cena,1
Boli vyosené a nevedia zatlačiť kontakty do káblikov. Nespravil som s nimi ani jednu koncovku,0
na domace upravy kablov a krimpovania konektorov uplne postacujuce. ja som spokojny,1
"Jednoduché, nie je zbytočne drahé.",1
Žiadne,0
"Jedine co to ma robit je spravit kabel a aj to robilo zle a nakrivo :D, vratil som ich",0
"nie je schopny poriadne kovove jazycky do drotikov stlacit dnu , jednu stranu stlacite a vonkajsiu uz nedotlaci lebo jednoducho to stlacate ako noznice a je tam velky skon , vnutornu stranu date na doraz a vonkajsia ostane posledne dva poriadne nedotlacene kedze je to sikmo, tak isto nepresne spravene zuby nesadaju dobre na jazycky , je tam velka vola a netrafi sa , potreboval som len na par ale 3x som to koli tomu musel prerabat.",0
"Značka, spoľahlivosť",1
"cena,",1
na male jednorazove projekty (napr. domaca siet) sa neoplati kupovat ine.,1
"klieste nie su uplne presne, par koncoviek znicenych, kym clovek prisiel na spravnu aplikaciu tlaku a sily ...",0
"klieste su pri stlacani asymetricke, co pri trochu nepozornosti sposobi nefunkcny konektor.",0
chyba nastroj na bezpecnejsie odstranenie PVC ochrany UTP kabla,0
"pre profi pouzitie, zvazil by som profi symetricke klieste.",0
Splnilo svoj účel,1
pre amatérov ok,1
cena,1
horšia kvalita a kratka vydrz,0
Lacné,1
Robí čo má,1
na krimpovanie RJ45 nepotrebujete nic luxusnejsie ani dodatocne naradie,1
ma este aj zamykanie v uzatvorenej polohe pre lahsie prenasanie a skladovanie,1
Výborná věc pro vytváření domácí sítě. V nejhorším se dá použit i jako kladivo :),1
nic,0
na domáce použitie,1
prišli mi pekné čierno/modré,1
účel plnia :),1
klieste,1
nic,0
Sice lacne klieste ale ak netahate 100km kabla tyzdenne uplne perfetkne pre potiahnutie potrebnej infrastruktury v byte,1
"Ako pisu aj ostatni, obcas konektor nespravne 'zacvakne' na urcene miesto a stane sa ze sa pri stlaceni kliesti prilis ohne 'jazycek', ktory ma drzat konektor v mieste. Stacilo mi vsak ohnut ho trochu naspat a parada",0
lacne,1
na tych par kablov co som spravil uplne dostacujuce,1
ziadne,0
dobré fachčí 1*,1
Funkční,1
Trošku volná,0
Prozatím jsem nevyužila,1
Vypadá kvalitní,1
funkční,1
plně funkční,1
žádné,0
cena,1
ok,1
"hodí se ke kabelu , ke kterému jsem si ho koupil.",1
"ideální varianta pro ""nastavení"" (prodloužení) kabelu pomocí koncovek RJ45 (např. internetový kabel v domácí síti)",1
"malá vůle i přes zacvaknuté koncovky RJ45 ve spojce se může stát, že pokud někdo za kabel omylem zatáhne (např. zakopne) ... síť, resp. spojení je rozpojeno",0
"Spokojenost,rychlost",1
OK.,1
levné a funkční,1
Vše ok,1
Nic,0
Cena,0
Dobrá cena,1
funguje,1
Funguje,1
"Nevím, jestli se vyrábí místo jednoduchého napojovacího dílu, rozdvojka na připojení dvou kabelů, bylo by to pro moji potřebu lepší.",1
pracoval bez závad,1
funguje jak má,1
Jednoduchá a spolehlivá,1
Ok..,1
Ne.,0
Plní svoji funkci,1
pevná a funkční spojka,1
"Funguje, tak jak má :)",1
Nic,0
Prostě spojka,1
plní účel jak má,1
není co :-),0
Opravdu základ,1
Funguje,1
Cena,1
Okamžitá dostupnost,1
Funkční,1
Běžná obyč funguje,1
Zcela spolehlive.,1
"levné, prozatím funkční",1
nic,0
Barva je hnusná.,0
S koncovkami nižší kvality kabel vypadává,0
funguje,1
dobrá cena,1
designově pokulhávající,0
funguje jak má,1
material je obyč ale postačí,1
"Splní co splnit má - propojí kabely, víc k tomu asi není co dodat",1
funguje jak má,1
pasuje i RJ-11,1
dost velká,0
"žádné omezení, podporuje CAT.5",1
nic,0
Funguje spolehlivě,1
Žádné,0
slouží dobře,1
nic,0
Plně vyhovuje,1
"Levné,plně funkční",1
Splnilo účel.,1
Ne.,0
spojil co měl a byl levný,1
Plní svůj účel bez problému.,1
Zvýšila rychlost mého internetu ~43%,1
Je velmi tichá,1
Barva se hodí k mé pohovce,1
V zimě nehřeje,0
Barva se nehodí k mému koberci,0
utlm,0
"Výborná věcička na propojení kabelů, když neni po ruce dlouhej, nebo je jen potřeba něco propojit pro laiky ideální, funguje jak prodlužovačka jednoduše ""zacvakneš konektory a jedeš"" nijak nezpomaluje přenos. A cena za hubičku :)",1
Funguje.,1
"Obecně je lepší raději koupit nový delší kabel než spojovat spojkou dva stávající. Na kvalitě přenosu dat to sice v podstatě nejde poznat, ale teoreticky tam vyšší ztrátovost je a cena nového UTP kabelu není až zas tak vysoká, aby to za to riziko stálo.",0
Funguje,1
Nejsou,0
funguje,1
větší rozměr,0
Spojuje dva UTP kabely s konektory RJ45,1
cena,1
kvalita,1
Funguje :-),1
"Funguje, i když do jedné zdířky dáte konektor s integrovaným PoE",1
"funguje jak má, i na 1Gbps síti",1
působí dojmem že se v půlce zlomí,0
plast,0
Již existence tohoto zařízení.,1
Nic.,0
"super, bez problému",1
funguje,1
Funguje,1
Prostě funguje tak jak má,1
spokojenost.. splnilo svůj účel.,1
ŽÁDNÉ,0
Za tu cenu plně dostačující.,1
malý,1
barva,0
funguje,1
Funguje-velmi dobrý...,1
NIC.,0
"Klasická kabelová spojka, občas se hodí.",1
Dobře spojuje kabely.,1
Malý výběr barev. K bílému kabelu se tato starobéžová nehodí.,0
splňuje co jsem očekával,1
cena,1
standardní propojka,1
nevidím žádné zápory,0
100%,1
funguje,1
"Jednoduchost, rozměry, cena",1
"Trošku se bojím křehkosti, jinak nic.",0
funguje,1
"normální spojka, funguje",1
nemá,0
Nic jej nechyba,1
Splňuje svůj účel.,1
"Nedrží, Nutnost dokoupit s izolepou",0
Dokáže dokonale spojit všechny 4 páry UTP kabelu !!! Je to hotový zázrak ! :),1
klasika,1
funguje jak má,1
svůj účel splní,1
tady snad ani není co zkazit,0
propojí krátký přívod,1
Spojka spojuje. Co víc od ní taky chtít...,1
"cena,kvalita",1
Cena,1
Nic,0
"Pokud se Vam za ty penize nerozpoji uprostred, tak mozna, kdyz po zapojeni kabelu vyzkousite, jestli signal funguje, tak pak na tuto spojku nesahat a bude sit fungovat :-)",1
"Horsi zpracovani,",0
"Dobré pro prodloužení délky kabelů, pokud máte víc kratších.",1
Levné,1
"poměrně malá, zatím funkční",1
cena,1
funkčnosť,1
odporúčam len na krátke spojenie v nezarušenom prostredí a dobrým prístupom k spojke pre prípad výmeny,1
"nie je vhodná na dlhé prepojenia na miestach, kde sa vyzaduje zvýená trvácnosť a odolnosť",0
jednoduché a rychlé řešení za pár kaček,1
funguje,1
Překvapivě malý,1
Na krátkou vzdálenost v domácnosti dokonalý.,1
Nemám co vytknout.,0
"jednoduchá manipulace,dobrá cena",1
nic,0
super,1
nic,0
"Jednoduché,laciné - funkční. Zacvakne i lacinější kabel.",1
Praktická pomůcka pro spojení síťových kabelů.,1
"Splňuje to,co má",1
"zatím funguje, vše v pořádku",1
asi žádná,0
Ok,1
"Použito na spojení telefonní linky (nikoliv síťové kabeláže), funguje dokonale.",1
Levná spojka,1
Poslouží,1
Nic,0
Vše OK,1
v pohodě,1
nic,0
Tak jak by mělo,1
"v pohodě, bez problémů",1
OK,1
Žádné,0
Wow,1
dobra spojka,1
kvalitna bezova farba,1
plní svou funkci za pár korun,1
nic,0
funguje,1
spojuje,1
propojuje,1
dokonalá spojka!,1
více barevných odstínů :),0
mohla by být menší,0
klasika :D,1
Perfektni,1
standart,1
no,0
Bez problému,1
"funkční,levné",1
funguje jak má,1
"občas z něj vypadávaj kabely, takže jsem je přilepil izolačkou :D",0
Občas nějkou hledám a předělání na pevné vedení se nekoná...,1
funguje podle predpokladu,1
nic,0
Funguje jak má.,1
Zatím nic uvidíme po delší době :),0
Rychlé spojení dvou kabelů,1
Podpora 1Gbit,1
některé spojky mají tendenci se později zlomit,0
"Levná, levnější než samovýroba.",1
Do prostředí bez rušení je víc než dobrá.,1
"Do náročnějšího nasazení (při větší hustotě kabeláže a rušení) je lepší kovová stíněná, ale ta je násobně dražší.",0
Funguje.,1
Rozměry.,0
Povinný obsah brašny ajťáka,1
funkční,1
levné,1
malé rozměry,1
zatím nic,0
Splňuje mé požadavky,1
Funguje. Co víc čekat.,1
Uplne Plug&Play - cvak a hotovo - idealne,1
propojení dvou kabelů,1
Funguje tak jak má,1
"Sikovna vec na propojeni kabelu, vrele doporucuji",1
"pro klasickou zasuvkovou krabici trochu velke. pokud planujete propojit dva RJ45 kabely v krabici na stene, budete tam muset dat rovnou dve.",0
Bylo to v klidu a bez čekání. Dobré.,1
levne,1
funguje,1
Spojka funguje a to je důležité,1
maly a splna svoji funkci.,1
nic,0
jednoduchost,1
"Vyhoda je, ze toto nekupite len tak v beznom elektre, takze som rad, ze Alza ma skladom",1
nič,0
rozpadáva sa (musel som zlepiť páskou),0
cena,0
funguje,1
Zatiaľ funguje ako má.,1
Žiadne,0
Kvalita prevedenia,1
Zachrana pred odtahivanim nabytku a nutnosti tahania noveho kabla,1
Funguje,1
klasicka koncovka,1
biela farba :-),0
"dobrý, drží, kable z nej nevapadávajú",1
funguje,1
Lacny funkcny odporucam,1
funguje,1
bez problémov,1
lacne a funguje dobre,1
Príjemne malé rozmery na predĺženie kábla,1
Spojka,1
Káble v nej dobre držia,1
Malá,1
Funguje ako má. Dobrá vec pri nastavovaní siete.,1
Šikovná pomôcka,1
je to spojka,1
ktora nefunguje takze my je naprd,0
funguje,1
"trochu ,,wackerlich"" -- konektorom niekedy treba pomikslovať, aby bol signál 100%",0
Funguje na predĺženie kábla,1
Internet cez ňu ide,1
Cena,1
"Je to spojka, čo viac napísať",1
Pri použití viacerých v blízkosti by som asi dal tienenú,0
spojka spojuje :),1
sikovne rozmery,1
vzhlad zozltnuteho stareho plastu,0
cena,0
Lacné a pritom plne funkčné,1
Praktické zomery,1
8 pinov,1
Alza je navyše super obchod s výbornou logistikou a dodacou dobou...,1
Na obale je napísané anglicky že záruka 10 rokov (Warranty 10 years ale na faktúre iba 24 mesiacov ale to je asi záruka u výrobcu),0
Bez výhrad spĺňa účel,1
Spoje pevne držia,1
Klasická spojka,1
žiadne som nezistil :),0
funguje ako ma,1
Funguje to!,1
žiadne,0
cena,1
"Jednoduchá spojka, neni čo hodnotiť. Funguje.",1
"Jednoduché, funkční, srozumitelné",1
Zpomaluje síť na 100 Mbs,0
snadné zapojení,1
lepící podložka drží i na zdivu,1
funguje skvěle,1
zatím nic,0
Poměrně levné a plně funkční,1
jednoduchá a praktická,1
funkční design,1
nestíněná (což má ve specifikaci),0
pohledový design,0
Levné řešení při povrchové montáži,1
Dobré zakončení přípojky poskytovatele,1
Drží vlastnosti kategorie 5e,1
Funguje,1
finguje a cena je dobrá,1
"Hodně zmatečné značení zapojení. Na tak hloupé jsem ještě nenarazil. Dalo mi práci, než jsem je rozklíčoval, a pak pro jistotu proměřil, zbytečných cca deset minut přemýšlení.",0
uchycení kabelu jednorázovou páskou vylučuje opravy.,0
"Cena,",1
funkcnost - netreba krimpovacie klieste,1
zcela běžná fungující zásuvka,1
obsahuje oboustrannou lepící pásku i šroubky na upevnění,1
"Obyčejná zásuvka na LAN, bez šroubování a dá se přilepit nebo přišroubovat.",1
veľmi jednoduché zapojenie aj pre laika,1
asi žiadne,0
"Nejsou potřeba kleště, ale pro laika si myslím, že zapojení kabelů zde není zcela jednoznačně zakreslené a na mě to působilo trochu zmateně.",1
Trochu těžší vložení drátků do těch zářezových čelistí (nevím jak bych to nazval správně) ale s malým šroubovákem jsem to snadno zvládl.,0
sou tam popsane barvicky a neda se to splest,1
to cvakani dratku je pakarna,0
Klasická zásuvka,1
Nástroj na zařezávání jednotlivých žil do jednotlivých konektorů,0
levná klasika,1
funguje,1
oboustraná páska nalepena,1
zpracování,0
kvalita,0
"Nalepka v baleni, nemusi sa sroubovat.",1
"V baleni nebol nastroj na zarezanie kablov do jednotlivych konektorov. Pre amatera, co to drzi prvy krat v ruke otravna na zapojovanie. Pre amatera, co to drzi prvy krat v ruke a na maly, ostry nozik ziadny problem",0
"cena, jednoduchost",1
problém s připojováním patch kabelu do zásuvky - vypadává.,0
cena,1
"asi neznám správný fígl, ale občas problém s připojenim kabelů",0
Cena,1
nevim,0
jednoduchá instalace,1
Taký jednoduchý výrobok hádam nie je ako pokaziť,1
Vyššia cena oproti konkurencii.,0
Funguje.,1
Kupoval som viac kusov s 1 týždňovým rozdielom a vo vnútri je odlišné značenie. Na jednej zásuvke bolo OK a na ostatných bolo identické značenie pre T568A aj B štandard.,0
"Dobré pro menší bytové instalace, kde je přívod v lištách",1
malá,1
jednoduchá,1
levná,1
sympatická malá velikost,1
"po přečtení několika recenzí jsem měl obavy ze zařezávaní drátků do drážek, ale při použití velmi malého šroubováčku (ruské výroby :-) šlo všechno velmi dobře",1
asi koupím ještě další,1
dvojzásuvka se do budoucna může hodit i když momentálně jsem zapojil jen jednu,1
dobrá cena,1
po zacvaknutí 100% nedoléhá,0
trochu slabší plast,0
Odporúčam.,1
Kontakty sú farebne označené (568A aj 568B) a nedá sa pomýliť.,1
Na uchytenie UTP káblov sú v krabičke 2 spojky na uchytenie.,1
Krabička funguje s 1Gbit bez problémov.,1
"V krabičke sú Krone konektory, na ktoré je potrebné dokúpiť si ešte nejaký ten narážač káblov.",0
super řešení 2 zásuvky v jednom,1
nic,0
samořezné kontakty,1
nic,0
sou tam popsane barvicky a neda se to splest,1
to cvakani dratku je pakarna,0
Funguje,1
cena,1
uvnitř označení standardních barev kabelu,1
dá se z ní udělat dvouportový switch bez potřeby napájení (překřížené propojení A/B),1
jednuduché zapojenie a montáž,1
spokojnosť,1
Originální inkoust,1
Velká 42ml náplň vydrží opravdu dlouho,1
"Originální náplně jsou drahé, ale nikdy se mi nestalo, že by byly zaschlé trysky, na rozdíl od kompatibilních inkoustů",0
Že je k sehnání na starší tiskárny HP,1
Cena,0
Splňuje očekávání,1
léty ověvěřená,1
Doporučuji,1
Žádné,0
Výdrž barvy pro starší typ tiskárny HP,1
Cena,0
Zadne,1
"Nefunkcni, tiskarna hlasi chybu.",0
rychle přehledně,1
Výborná kvalita tisku,1
"Ta cena je fakt úlet, ale v přepočtu na Kč/ml to zase tak hrozné není (tahle má 42 ml)",0
Kvalitní tisk,1
Dlouhá výdrž originální náplně (oproti náplním kompatibilním),1
Snad jen vysoká cena...,0
rychlost dodávky,1
cena,0
Nepřiměřeně drahé.,0
Tiskne,1
Kvalita barvy,1
tiskne,1
cena,0
"příště siu kupuji tiskárnu Epson s inkousty v lahvích, tohle žere jak bagr",0
garantovaná životnost hlavy,1
kvalita daná výrobcem,1
vysoká cena,0
originál je originál,1
Snadná manipulace,1
Náplň se úplně nevyprázdní,0
funguje ako má,1
žiadne,0
trochu předražené,0
Super.,1
Žádné.,0
"nízká cena, doporučuji",1
Za málo peněz hromada muziky.,1
Tiskne,1
Kvalita barvy,1
tiskne,1
cena,0
"příště siu kupuji tiskárnu Epson s inkousty v lahvích, tohle žere jak bagr",0
trochu předražené,0
garantovaná životnost hlavy,1
kvalita daná výrobcem,1
vysoká cena,0
Super.,1
Žádné.,0
