text,label
připojují se rychle,1
je přes ně lépe slyšet než přes 1 gen airpody,1
špatné spojení s iPhone XS (při hovoru volající slyší sám sebe),0
nelze pravým sluchátkem vrátit skladbu o jedno zpět,0
"chybí mi ""ťukání"" pro vyvolání funkce jako u 1gen",0
Velikost balení,1
Usb-C,1
Prostorovy zvuk/ sledování pohybů hlavy,1
Cena/ výkon,1
Při zapnutí funkce najít zařízení reproduktory hrají na 50% hlasitosti. (Se zakrytou horní mřížkou hrají mnohem hlasitěji),0
Zvuk super,1
Nic,0
Fajn sluchatka do skoly atd,1
Cena nicmoc,0
perfektní,1
"skvělý tvar, dobře sedí",1
Perfektní hudba,1
Nejdou slyšet ven,1
"super , USB C",1
"Sedí super, odolnost",1
Fantastcky zvuk,1
Prostě Iphone a sluchatka jsou bez konkurence,1
K Iphone 15 konečně jeden kabel. Čekání se vyplatilo,1
Nic,0
"Velmi lehké, v uchu je prakticky necitim",1
Malé,1
Dobrý zvuk,1
USB-C,1
nádherný zvuk,1
moderní,1
apple,1
kompaktní,1
špatně drží v uchu,0
"Dobra kvalita zvuku, dlhá vydrž batérie",1
rychlost dorucenia,1
cena,1
všetko v pohode,1
zvuk je dobry,1
doručenie meškalo 3 dni naviac,0
"dokonalo sedia v ušiach, ani nich necítim",1
úžasné funkcie,1
kvalita zvuku,1
kvalita výrobku,1
batéria dlho vydrží,1
nebolia z nich uši,1
splnili očakávanie,1
kvalita,1
nesedí perfektne v uchu,1
kvalitný zvuk,1
vyborny produkt,1
rychle dorucenie,1
výdrž baterie jednoduchost a dokonalosť,1
Potlačenie okolitého hluku,1
perfektne sa drzi v usiach,1
lahko sa ovlada,1
Ok,1
Odporúčam,1
Veľmi spokojný čo sa dá iné čakať od Apple,1
Mohlo by to byt aj horsie...,1
"Nekvalitny zvuk, ako z tunela. Airpody 2.generacie maju ovela kvalitnejsi zvuk. Skusala som rozne nastavenia, ktore radili na internete, ale nepomohlo. Moje ocakavania nesplnaju, vraciam.",0
Perfektný zvuk,1
Nič,0
Hrajú pekne,1
Šikovné balenie a case,1
"Vo fitku sa často stane, že sa náhodne odpoja a znovu pripoja k mobilu. Mám pocit, že to robí keď je naokolo veľa iných AirPod zariadení (nejaký problém s Bluetooth pásmom)",0
Na Androide neukazuje stav nabitia,0
Parada,1
super zvuk,1
dobré ovládanie,1
výdrž batérie,1
"oveľa menšie, ako 2. generácia - ťažko si ich vyberiem z krabíc",0
furt vypadávajú z ucha,0
"nabíjacia krabica sa mi zdá za nekvalitnú - uvidíme, koľko vydrži",0
nemajú silikón,1
Všetko v pohode,1
Nič,0
rýchle párovanie a nabíjanie,1
"cheap krabička pre airpody, vŕzga a viečko sa moc hýbe do strán, oproti mojím starším airpods je krabička znateľne nekvalitnejšia",0
"zvuk je zašumený a nečistý, bassy sú neexistujúce pri týchto slúchatkách",0
low budget konštrukcia,0
vypadávajú z uší (absolútne pri každom pohybe pomaly),0
Vyhovujú fungujú zvuk je super,1
Nie je,0
super zvuk fakt kvalita,1
"Špinavá krabička, neviem kde to skladovali",0
"Vyborny zvuk, parovanie",1
dobrý zvuk,1
dlhá výdrž,1
nedržia až tak dobre v ušiach,0
Dobra kvalita hudby. Treba si zvyknúť ze je to iba tvrdý plast a nemusí to na 100% sedieť každému. Preto maju PROčka silikóny.,1
Splna vsetky pisane parametre 👍🏻,1
mne osobne nevypadavaju,1
dobry zvuk,1
"dobry mikrak, len napr. na discorde je to naprd kvalita",1
"hapticke tlacitko je v poho, mohlo by byt trosku inak ale umiestnene",1
"cena, za taku cenu by som mohol mat aj 10 random slucahdiek aku su tieto aj s podobnou kvalitou",0
vyborne vsetko,1
nic zle,0
Perfektný zvuk,1
Držia celkom dobre,1
Ovládanie gestami hlavy,1
Vydrž batérie,1
USB C,1
Cena,1
Zvuk (výrazné basy),1
Výdrž batérie,1
Spracovanie,1
USB-C,1
Dobre sedia,1
Cena,1
Cena,1
Prekvapivý zvuk,1
Kednoduchost,1
pohodlne sedia ,1
"lepsia zvukova charakteristika,oproti modelu 2019",1
usb-c,1
Hraju genialne,1
Odporúčam,1
Nemaju nabijací kábel,0
vše ok,1
nic,0
"Cena vs výkon je neskutečná, jsou skvělé",1
spousta funkcí,1
kvalita zvuku,1
anc,1
snímání ucha,1
"pouzdro se velmi lehce poškrábe, poškrabal se mi i při běžném nošení v kapse, doporučuji nějaký obal",0
zvyknout si na pecky,0
"kúpil som, pretože sú to jediné sluchádlá s potláčaním hluku bez štuplov do uší",1
veľká spokojnosť,1
"niekedy trochu počuť okolo, keďže tam nie sú štuple do uší a nevyplnia tak priestor",0
dárek pro sestru,1
potlačování hluku funguje bezvadně,1
dlouhá výdrž baterie,1
Vyborna kvalita. Splnilo ocekavani.,1
Ok,1
"plni svou funkci, jdou prozvonit",1
Výborný zvuk,1
Skvělé ANC vzhledem k otevřené konstrukci,1
Vyšší cena,0
hrají skvěle,1
odhlučnění super,1
"nedopuručuji se dál vzdalovat, zvuk se seká",0
Jsou super,1
Nic,0
Okamžité spárování na různých zařízení,1
špatně reaguje ovládání přímo na sluchátku,0
rychle doruceni,1
Výborný zvuk,1
Snadné párování,1
"Spousta funkncí, které ale neumím pořádně ovládat",1
"Tvar sluchátek mi nevyhovuje (kromě řady 2), padají mi z uší, ale to není vada výrobku",0
super hraji,1
basy,1
vzhled premiovy,1
noise canceling super funguje,1
cena,0
nesedi vsem do us,0
kompatibilita s iphonem je senzační,1
kvalita zvuku (nejsou to studiová sluchátka ale hrají dobře),1
kvalita zpracování ANC,1
cena,0
na hluk metra je ANC slabé,0
po první zkoušce ANC je cítit velký tlak. Ale člověk si zvykne.,0
Super,1
skvělé ANC,1
reproduktor na pouzdru,1
find my,1
adaptive mód,1
výdrž na baterii s ANC,0
malá velikost pouzdra na použití magsafe,0
trochu nezvyklý zvukový profil,0
Po půl roce používání reklamujeme.,0
Kvalita zvuku,1
Pohodlí,1
Výdrž,1
citelně slabší ANC oproti Pro,0
"preferuji špunty u verze Pro, lépe drží při sportu",0
Vysoká kvalita produktu,1
Cena je vzhledem k nabízeným vlastnostem příliš vysoká (neplatí pro Alza box),0
proste apple,1
nejlepsi zvuk,1
mensi nez minula generace,1
zadne,0
malé a lehké,1
hrají docela dobře (takže za 3 :),1
nedrží moc v uchu,0
"ANC ani nevíte, že tam je!",0
vydrž sluchátek,0
Perfektne sedí,1
Skvěle hraji,1
Bez nutnosti parovani. Jde to automaticky,1
"Casto je pouzivam na telefonni hovory a i kdyz jsem dal od telefonu, tak me druha strana slysi skvele",1
Proste Apple,1
Cena,0
Zvuk hovorů,1
Integrace s Apple zařízeními,1
cena,0
Hledal jsem až jsem našel..😀,1
Skvělé Basy (Naprosto Top),1
Propojení telefonu iPhone 16 Pro a sluchátek hned po otevření krabičky.,1
Lehoučké (ani nevíte že je máte)..👍,1
Bezdrátové nabíjení,1
Elegantní...(super tvar),1
dobře drží v uších,1
výdrž baterie,1
kvalita mikrofonu/potlačovaní zvuku,1
kvalita zvuku,1
"AirPody mi skvěle sedí v uších. Potlačení okolního hluku je úplně pecka. Cena je velmi dobrá. Nastavení je stabilní a funguje bez problémů. Jsem spokojený, děkuji a přeji Alze pěkný den.",1
-,0
Super ANC. Funguje i bez špuntů.,1
Možnosti nastavení.,1
"Vysší cena, ale to je Apple.",0
Seems to be fishy,0
I think components are changed,0
Krásně hrajou,1
Dobře drží v uchu a nebolí z nich uší .,1
Dobré potlačení hluku,1
Nic,0
Zvuk,1
ANC,1
Cena,0
Bezdrátové navíjení,1
Potlačení šumu funguje bezchybně,1
ANC,1
Lze hledat jednotlivé AirPody dle polohy,1
Horší kvalita zvuku ve srovnání s verzí 2019,0
Nevyhovují mi tlačítka,0
Dobrý ,1
Hezký,1
všechno super,1
"funkce, gesta",1
zvuk,1
ANC - fakt bomba pro někoho jako já kdo nemá rád špunty a skvělý že se to dá vypínat a zapínat..,1
bezdrátové nabíjení,1
jako mohlo by to být levnější to jako jo no... 4500 za sluchátka je dost,0
Funkčně výborné,1
Nesedí mi v uchu tak jako gen 2,0
rychlost dodání,1
Detektor pohybu hlavy,1
Komfortní ovládání,1
Vynikající zvukové podání ,1
Spousta možností nastavení ,1
Vyhledávání sluchátek i v místnosti ,1
Potlačení okolního hluku je fascinující,1
Vypadají prestižně,1
Foukání slabého větru lze strašně slyšet,0
"Chybí špunty, takže máte pocit, že mohou snadno vypadnout z uší a neodhlučňují tak dobře jako špuntové",0
Ve Windows i když máte Apple Music tak se písnička nepauzne automaticky po vyndání z uší,0
Skvěle sedí v uších,1
Povedeně filtrují vnější zvuky,1
obával jsem se aby mi seděly ale zbytečně,1
sedí skvěle,1
občas se mi vypínají z důvodů detekce v uchu ale jde to vypnout,0
Super zvuk,1
Kompatibilita Apple ekosystém,1
Cena,0
dobře mi drží v uších,1
dobře hrajou,1
dobrý ANC,1
"na to že jsem přešel z Apple Airpods gen 2 , tak jsem od toho čekal víc",0
"potlačování hluku skoro vůbec:(, ve vlaku mezi lidmi skoro nepoužitelné",0
vypadávají z uší,0
skvělý zvuk,1
pohodlně se nosí ( v porovnání s SONY peckama nesrovnatelně komfortnější),1
výborný (překvapivě funkční) ANC,1
hezká integrace do Apple prostředí ( připojení ovládání ...),1
cena,0
cena,0
cena,0
super zvuk,1
Nic,0
poměr cena/kvalita top,1
Skvěle hrají,1
Super potlačování hluku,1
Doporučuji všema 10😃,1
"Samozřejmě potlačování hluku není 100%, já třeba využívám Adaptivní režim, z úplného potlačení hluku by člověku bolela hlava.",0
Nemám žádné zápory:),0
"Super pohlcování hluku oproti starým airpods, ale chápu, že to není nic nového, subjektivní pocit",1
Výdrž ujde,1
Ucházející tvar,1
oproti starým airpodům mi jsou nepříjemné cca po 3 hodinách používání a začnou trochu tlačit,0
funkční dle očekávání,1
Celkově hrají velmi pěkně,1
Luxus design,1
Nejlepší sluchátka pro telefon,1
APPLE,1
Slušné basy na špunty,1
Nic,0
Perfektní z zvuk,1
Dobře sedí v uších (každému sedí jinak),1
malá nabíjecí krabička,1
Když člověk jede autobusem a ten autobus trosku poposkočí tak trochu více propouští hluk z okolí (ANC),0
zvuk dobrej,1
"měl jsem airpods 2 pro a řekl bych že airpods 4 anc jsou lepší, jsou menší a líp sedí v uchu",1
skvělý zvuk,1
Mě sluchátka tlačili v uších po delším používání.Vracel jsem a kupoval AirPods 2 Pro. ,1
hrají skvěle,1
Apple,1
Nesedí v uších ale to je jen můj problém,0
Za me velmi kvalitní sluchátka. Perfect zvuk.,1
Skvělé potlačení okolního ruchu.,1
Moc dobře nedrží v uchu. Je zapotřebí davat pozor.,0
Celkem bych privital taky jinout barvu.,0
"Odpovida popisu, zadny problem",1
Zvuk,1
potlačování okolních zvuku,1
Dlouhá výdrž baterie,1
Potlačování hluku,1
detekce hlasu,1
krásný zvuk,1
Jednoduché a rychlé ovládání,1
Super funkce tlumení,1
zvuk,1
překvapivě potlačení hluku,1
cena ale u applu očekávané,0
"ANC funguje, tak jak ma",1
transparent mode taky,1
krabicka ma reproduktory a dobre find my,1
spacial audio,1
"krabicka takova klikava, vicko se trochu kinkla",0
"sound leakage, obcas lide slyseli, co jsem poslouchal, ale bude to tim, jake usi mam",0
"obcas me z nich bolely usi, ale to je osobni preference",0
Skvěle komunikuje s produkty od Apple,1
Přesně mi padli do uší,1
Výborný zvuk,1
Potlačení šumu funguje bezvadně,1
Cena,0
Super,1
Pohodlné v uších,1
Tlumení hluku skvělé,1
Zvuk skvělý,1
Moderní design,1
Výborný zvuk,1
Skvělá integrace s iPhonem a Macam,1
Skvělý zvuk,1
Poměrně dobré ANC,1
"Bohužel mi neustále vypadávaly z uší, vráceny",0
Pěkně  malé,1
Zvukový projev,1
Profily,1
Noice isolation,1
Dobře sedí,1
Potlačování zvuku je skvělé,1
Krásně sedí v uších,1
Neodstávají,1
Zvuk nejde zvyšovat a snižovat přímo na sluchátkách,0
ANC - yessir,1
tvar - yessir,1
zvuk - yessir,1
cena - ok. mohla být lepší,1
"je mi fajn, je mi skvěle, jsem zdravý duch ve zdravém těle",1
cena :(,0
cena :(,0
cena : vzhůru k výškám,0
výborný zvuk,1
super propojení s Apple produkty,1
potlačování zvuku,1
nedrží úplně nejlépe v levém uchu i po zakoupení silikonových obalů,0
"Po hodině používání bolest uší, ale to je asi o zvyku",0
fungují výborně dle očekávání,1
"i přesto že má potlačování hluku jemné nedostatky, tak na pecky velice slušný výkon",1
vynikající kvalita při telefonování,1
"mám pocit, že mi 2. generace lépe držela v uších",0
poklepání pro přepnutí skladby bylo podle mě lepší než mačkání,0
dobře tlumí hluk v letadle,1
pohodlné v uších,1
skvělý zvuk,1
užitečné funkce navíc,1
Zvuk,1
Dobře sedí v uších,1
Vyšší cena,0
"Hraji krásně, ale mě vypadávaly z uší. Takže spíše doporučuji PROčka.",0
zvuk,1
potlačení zvuku,1
sedí perfektně v uších,1
"Bál jsem se zvuku, ale je super. Umí hrát i nahlas. ",1
"Aktivní potlačení hluku u sluchátka bez ""špuntu"" je fakt pecka.",1
Žádné dunivé zvuky při chůzi a nebo při mluvení. Absolutně o nich nevíte. ,1
Perfektně přenáší okolní zvuk při otevřeném režimu. ,1
"Automatické ztlumení při rozhovoru dost pomáhá při konverzacích, kde nemusíte vyndávat sluchátka z uší.",1
vcelku rychlé dobíjení v pouzdře,1
"Konečně chápu, proč nosit jen jedno sluchátko a dává to smysl.",1
"výdrž je ""až"" 5 hodin, ale ve skutečnosti je to méně. Ale to je i tím, že hodně telefonuji a sluchátka musí vysílat obousměrně.",0
Krasný zvuk,1
Sedí v uších,1
Mala krabička,1
Žádné,0
SUPER DESIGN,1
SKVELE FUNKCE,1
CISTY ZVUK,1
DRŽÍ V UŠICH,1
LOKALILIZACE MISTA,1
Sedí mi skvěle,1
ANC funguje dost dobře,1
"Nedá se ovládat hlasitost na šťopce!!! Nechápu. Musíte šáhnout po telefonu, řict siri nebo na hodinkách, jestli máte",0
Krásně sedí v uších,1
Vydrží dlouho nabité,1
Rychle se nabíjí,1
Potlačení hluku nic moc,0
Potlačení hluku,1
Malá krabička,1
Levé sluchátko pořád vypadávalo,0
Skvelý priestorový zvuk,1
Velikost,1
Vydrz,1
Zaťom nic,0
perfektně pasují do uší,1
vše funguje jak má,1
Na pecková sluchátka mají skvělý zvuk.,1
"Výhoda je, že se dají nosit déle než špuntová sluchátka.",1
Ani po delší době nošení v uších nijak nevadí.,1
"ANC funguje naprosto perfektně. Je třeba si uvědomit, že jsou to pořád pecky, tak zvukový útlum není takový jako u špuntů, ale i tak je skvělý.",1
"ANC funguje velmi dobře jak v metru, tak i v letadle. Lze poslouchat i mluvené slovo.",1
top,1
zadne,0
"Sedí v uších stejně dobře, možná i trochu lépe než první generace",1
O poznání lepši basy než gen1,1
Na ovládání stisknutím namísto poklepání jsem si zvykl rychle a je lepší,1
ANC funduje dobře,1
Bezdrátové nabíjení je velmi pohodlné,1
Možnost krabičky přehrát zvuk při hledání,1
Za mne je to po Mac Mini TOP produkt Applu v roce 2024,1
vše vyžadované,1
nic,0
"Dokonalý zvuk, potlačení okolního hluku",1
Dobře sedí,1
Výborný zvuk,1
Rychle propojení s mobilem,1
Parádně sedí v uších,1
ANC je kupodivu použitelné,1
velikost,1
"ovládání stiskem (občas máte pocit, že si je vytáhnete z ucha)",0
maximální spokojenost,1
jen tak mi sluchátka nesedí- jsou ideální i pro malé uši,1
ANC funhuje pěkně,1
Skvělý zvuk,1
Noice cancellation funguje parádně,1
Spokojenost vlastně se vším,1
"Nedrží moc dobře v uších, ale to je spíše individuální",0
Super zvuk a sedí dobře do ucha skoro všem co je zkoušeli,1
slušné ANC vzhledem ke konstrukci,1
zabudovaný čip pro hledání,1
Vše v pořádku,1
super žádné problemy,1
krásný zvuk a dobré potlačení zvuku,1
rychle se podřou potřeba obal,0
skutečně potlačuje okolní hluk - v metru či tramvaji můžete poslouchat mluvené slovo.,1
Velmi pohodlné,1
Zvuk na pecky v pohodě,1
"Noise cancelling funguje, ale je subjektivně poloviční oproti Pro 2",1
Ve všem horší oproti Pro 2,0
Chybí mi volume up/down jako má Pro 2,0
Chybí čip pro přesné vyhledávání,0
Kvalita zvuku,1
ANC,1
Tvar,1
Bezdrátové nabíjení pouzdra,1
ANC zkresluje kvalitu zvuku,0
Aktivni potlačení hluku,1
Nic,0
Super zvuk,1
Není slyšet okolní svět,1
Apple,1
Cena,0
Překvapivě skvěle fungující ANC,1
Dobře drží v uchu,1
Bezdrátové nabíjení,1
Menší krabička než u předchozí generace,1
Design,1
Zvuk krytu je docela otravný a nedá se vypnout,0
Zvuk,1
ANC nepochopitelně dobré,1
Malá krabička,1
Snadno padnou do ucha,1
"Občas je přestanu cítit v uchu (což je asi spíš plus, ale poprvé jsem se leknul, že mi jedno vypadlo)",0
Uřvaná krabička (v nastavení lze vypnout),0
na “bezšpuntová” sluchátka velmi dobré potlačení hluku,1
"lépe v uchu sedí, než předchozí generace",1
skvělá kvalita zvuku,1
Ideální na cesty,1
Zvuk,1
ANC,1
Propojeni s iphone,1
Nastaveni,1
"Bude to muj problem, ale proste nedrzi v usich",0
Proste Apple,1
Funguje jak ma,1
Cena,0
"Trojky mi sedej lepe, ale ucho si snad zvykne",0
ANC,1
Ekosystém Apple,1
"Aktivní potlačení hluku je važně skvělé, při prvním použití jsem se lekl jak najednou vše ztichlo 😁",1
Cena,1
Dokonalý zvuk,1
Telefonovalní,1
Chybí napájecí kabel,0
Super a obzvlaste potlacovani hluku s dalsi nove funkce,1
Zatim nic,0
Kvalita,1
Funkce,1
Cena,0
Jsem ze sluchátkama spokojená určitě bych si je koupila znova výhoda je že z uší nevypadají a mají protihlukový zvuk a jsou boží,1
ANC je super,1
Lépe sedí do ucha,1
Sama se mi mění hlasitost,0
ANC docela funguje,1
Zajimavé funkce stereo atp,1
"Velikost. Oproti 2 jsou obří a strašně mě tlačily, hlavně horní okraj. Měl jsem pocit řezání. AirPods2 mi krásně sedí.",0
Ovládání je přes plošky. Již ne přes vibrace/bouchání,0
"Za mě je ve zvuku slyšet velký zásah čipu v pozadí, zvuk není tak přirozený, aspoň na moje ucho",0
Krabička je fakt pidi. Blbě se vyndávají.,0
funkční ANC,1
možnosti vypnutí ANC,1
dobra kvalita zvuku,1
bezdrátové nabíjení,1
tlak do usi ktery vytvari ANC – pocit zalehlých uší,0
nesedí perfektně jako staré klasické airpods,0
nemožnost poklepání,0
přijde mi ze zvuk nejde pořádně do uší,0
pecky jsou větší než u klasických aipords,0
dobře sedí v uších,1
kvalita zvuku při NAC,1
velmi dobré a rychlé přepínaní mezi Apple produkty,1
horší NAC než AirPods PRO,0
vyšší cena,0
Skvělý zvuk,1
Zapnutí/vypnutí funkce potlačení hluku jedním klikem na sluchátku,1
